sku;Produto;Descricao Curta;Tipo Produto;pvp;PC_medio;Descontinuado;Fornecedor;Localizacao Criacao;Peso Bruto;Altura;Largura;Comprimento
13699;Hamburguer cenoura e algas 100%;Hamburguer cenoura e alga;Normal;4,95;2,44;FALSO;IGNORAMUS PRODUTOS NATURAIS LDA;LOJA;2,4;0,21;0,175;0,215
13700;Bifes soja molho tomate - pronto a comer 100%;Bifes soja molho tomate -;Normal;5,7;2,802;FALSO;IGNORAMUS PRODUTOS NATURAIS LDA;LOJA;2,4;0,21;0,175;0,215
13701;Bebida soja calcio frias 1l;Bebida soja calcio frias;Normal;2,9;1,354651;FALSO;IGNORAMUS PRODUTOS NATURAIS LDA;LOJA;0;0,005;1;1
13702;Bebida soja natural frias 1l;Bebida soja natural frias;Normal;2,9;1,321006;FALSO;IGNORAMUS PRODUTOS NATURAIS LDA;LOJA;0;0,005;1;1
13705;Farelo aveia 250gr 100%;Farelo aveia 250gr 100%;Normal;3,5;1,442649;FALSO;IGNORAMUS PRODUTOS NATURAIS LDA;LOJA;3;0,37;0,27;0,225
13706;Muesli multicereais 375gr 100%;Muesli multicereais 375gr;Normal;5,35;2,439197;FALSO;IGNORAMUS PRODUTOS NATURAIS LDA;LOJA;4,5;0,37;0,27;0,225
13707;Farinha trigo integral 500gr 100%;Farinha trigo integral 50;Normal;3,1;1,217222;FALSO;IGNORAMUS PRODUTOS NATURAIS LDA;LOJA;6;0,465;0,335;0,405
13708;Arroz integral extra longo 1kg 100%;Arroz integral extra long;Normal;3,75;1,737619;FALSO;IGNORAMUS PRODUTOS NATURAIS LDA;LOJA;12;0,36;0,3;0,125
13709;Sementes sesamo 200gr 100%;Sementes sesamo 200gr 100;Normal;2,75;1,22;FALSO;IGNORAMUS PRODUTOS NATURAIS LDA;LOJA;2,4;0,465;0,335;0,405
13712;Tosta sesamo integral 250gr 100%;Tosta sesamo integral 250;Normal;4,9;2,36;FALSO;IGNORAMUS PRODUTOS NATURAIS LDA;LOJA;3;0,405;0,305;0,173
13714;Acucar cana integral 500gr 100%;Acucar cana integral 500g;Normal;4,9;2;FALSO;IGNORAMUS PRODUTOS NATURAIS LDA;LOJA;3;0,375;0,27;0,225
13718;Cha verde soluvel 10saq 100%;Cha ver soluvel 10saq 100;Normal;4,5;2,103723;FALSO;IGNORAMUS PRODUTOS NATURAIS LDA;LOJA;0,72;0,403;0,09;0,136
13719;Cha menta soluvel 10saq 100%;Cha menta soluvel 10saq 1;Normal;5,15;2,321223;FALSO;IGNORAMUS PRODUTOS NATURAIS LDA;LOJA;0,72;0,403;0,09;0,136
13720;Chocolate negro sem acucar c/ frutos vermelhos 125gr Stevia;Chocolate negro frutos ve;Normal;3,9;1,76;FALSO;IGNORAMUS PRODUTOS NATURAIS LDA;LOJA;0;0,023;1;1
13736;Quinta do gradil espumante 750ml;Quinta do gradil espumant;Normal;25;5,15;FALSO;GOANVI, SOC. ENGARRAFAMENTO, LDA (PARRAS);LOJA;4,7;0,325;0,093;0,228
13750;Pera doce t 750ml;Pera doce t 750ml;Normal;10,5;3,089554;FALSO;GOANVI, SOC. ENGARRAFAMENTO, LDA (PARRAS);LOJA;7,7;0,325;0,16;0,235
